team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
Pittsburgh Penguins,away,3,34,11,6,33.3,1.0,3.0,42.0,8,10,23,-3,no
Philadelphia Flyers,home,6,27,13,6,66.7,2.0,3.0,58.0,6,10,31,3,yes
Chicago Blackhawks,away,1,23,7,8,33.3,1.0,3.0,49.1,4,1,14,-4,no
Tampa Bay Lightning,home,5,33,12,6,50.0,2.0,4.0,50.9,4,1,16,4,yes
Montréal Canadiens,away,4,32,22,13,66.7,2.0,3.0,46.0,6,13,32,-1,no
Toronto Maple Leafs,home,5,34,17,11,50.0,2.0,4.0,54.0,5,9,14,1,yes
Vancouver Canucks,away,5,35,14,8,0.0,0.0,2.0,48.2,5,6,19,2,yes
Edmonton Oilers,home,3,31,17,4,0.0,0.0,4.0,51.8,4,10,18,-2,no
St. Louis Blues,away,4,32,19,8,0.0,0.0,2.0,45.6,3,2,20,3,yes
Colorado Avalanche,home,1,27,11,4,25.0,1.0,4.0,54.4,6,7,21,-3,no
Washington Capitals,away,6,28,11,11,50.0,1.0,2.0,50.9,5,7,19,2,yes
Buffalo Sabres,home,4,26,7,9,33.3,1.0,3.0,49.1,6,9,20,-2,no
Boston Bruins,away,2,37,7,10,40.0,2.0,5.0,57.4,3,6,13,0,no
New Jersey Devils,home,2,22,14,10,0.0,0.0,5.0,42.6,12,19,26,0,no
New York Islanders,away,4,33,20,10,25.0,2.0,8.0,58.8,6,6,25,4,yes
New York Rangers,home,0,24,11,18,0.0,0.0,3.0,41.2,7,5,24,-4,no
Dallas Stars,away,1,25,17,11,0.0,0.0,1.0,43.9,1,4,32,-2,no
Florida Panthers,home,3,52,6,7,0.0,0.0,3.0,56.1,18,6,24,2,yes
Carolina Hurricanes,away,3,43,9,9,33.3,1.0,3.0,59.6,4,8,27,3,yes
Detroit Red Wings,home,0,14,16,11,0.0,0.0,2.0,40.4,2,16,19,-3,no
Columbus Blue Jackets,away,1,30,15,6,0.0,0.0,2.0,54.0,8,1,18,-2,no
Nashville Predators,home,3,35,20,4,0.0,0.0,3.0,46.0,2,5,16,2,yes
Calgary Flames,away,3,26,18,10,33.3,1.0,3.0,45.5,5,11,22,-1,no
Winnipeg Jets,home,4,34,14,8,25.0,1.0,4.0,54.5,8,11,21,1,yes
Vancouver Canucks,away,2,40,10,18,0.0,0.0,5.0,53.6,11,11,24,-3,no
Edmonton Oilers,home,5,46,29,20,50.0,2.0,4.0,46.4,8,12,37,3,yes
San Jose Sharks,away,3,35,22,8,25.0,1.0,4.0,45.3,1,8,18,0,no
Arizona Coyotes,home,3,37,13,8,25.0,1.0,4.0,54.7,6,11,21,0,no
Anaheim Ducks,away,2,22,13,2,0.0,0.0,1.0,57.9,7,1,29,-3,no
Vegas Golden Knights,home,5,29,21,2,0.0,0.0,1.0,42.1,7,9,30,3,yes
Minnesota Wild,away,4,27,7,8,0.0,0.0,6.0,38.7,1,2,22,1,yes
Los Angeles Kings,home,3,34,12,12,25.0,1.0,4.0,61.3,3,8,18,-1,no
