Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,27,10,20,5,9,22,6,3,no
6,21,12,28,6,10,28,7,3,yes
0,21,7,27,4,1,13,5,4,no
5,27,9,28,4,1,15,5,3,yes
4,25,21,26,6,13,29,12,5,no
4,24,17,32,3,8,13,13,4,yes
5,30,12,25,3,6,18,9,4,yes
3,26,17,29,4,10,17,8,1,no
4,27,16,24,3,2,20,8,4,yes
1,23,11,28,5,7,21,4,2,no
5,21,11,27,5,6,18,8,4,yes
3,21,7,25,5,9,19,7,3,no
2,32,6,28,3,6,12,9,5,no
2,16,12,21,10,19,25,15,5,no
4,28,20,29,5,5,24,12,4,yes
0,24,10,21,7,4,23,5,8,no
1,21,16,23,1,4,29,3,4,no
2,48,4,30,15,5,23,12,2,yes
1,38,8,33,3,8,27,12,3,yes
0,12,13,21,2,16,19,10,3,no
1,27,15,32,8,1,18,6,3,no
2,32,20,28,1,4,16,14,2,yes
3,22,17,23,4,8,19,8,5,no
3,26,12,28,7,11,21,5,4,yes
2,36,10,30,11,11,18,14,5,no
5,40,29,25,8,11,36,8,6,yes
3,27,22,26,1,8,17,14,4,no
1,27,11,29,5,11,20,12,3,no
2,18,12,30,7,1,29,8,1,no
4,23,21,24,7,9,29,5,1,yes
3,22,7,23,1,2,20,10,4,yes
3,28,8,33,3,7,16,10,5,no
2,19,7,21,1,4,27,5,5,yes
1,28,8,26,3,6,14,10,0,no
2,30,11,24,6,5,29,14,6,no
4,15,5,21,4,7,21,5,5,yes
2,31,6,24,1,2,6,8,3,no
4,31,7,20,3,3,14,11,4,yes
4,25,9,28,10,10,31,4,5,no
4,32,17,27,11,9,23,8,3,yes
3,20,10,31,4,6,11,9,5,no
5,19,17,26,8,9,31,10,5,yes
0,16,7,33,9,6,21,5,7,no
8,28,10,27,15,2,21,5,5,yes
1,23,9,33,5,5,13,11,4,no
1,21,7,18,6,11,22,12,4,yes
0,22,18,28,8,8,29,7,8,no
5,25,6,25,13,14,21,12,4,yes
2,26,7,27,1,4,22,11,2,no
2,17,16,29,5,9,14,10,4,yes
2,37,16,20,3,4,11,10,2,no
5,26,10,30,3,6,15,9,2,yes
3,36,4,33,5,5,14,12,5,yes
2,16,19,21,6,13,27,10,3,no
0,30,11,35,7,9,11,7,6,no
3,30,14,24,8,7,16,16,4,yes
5,28,21,19,3,12,31,9,3,yes
1,34,11,32,5,16,29,10,2,no
2,30,10,15,7,5,23,13,5,no
5,21,14,27,6,9,22,18,5,yes
1,19,15,21,4,3,21,8,1,no
0,29,18,20,3,2,27,17,2,yes
2,35,8,35,0,3,16,13,6,yes
3,28,11,25,1,13,17,9,6,no
2,17,18,21,4,0,29,7,4,no
4,14,9,28,6,4,23,14,2,yes
2,25,8,22,6,11,23,6,3,no
4,25,13,31,14,25,28,5,3,yes
3,18,6,29,4,7,41,4,5,no
3,21,9,32,5,4,31,8,4,no
0,22,12,25,2,8,23,16,5,no
1,14,17,26,7,9,31,9,4,yes
5,29,16,33,1,5,28,8,1,yes
0,21,10,25,2,10,23,14,2,no
3,26,9,22,2,3,11,6,2,yes
1,28,15,33,4,12,11,7,2,no
4,18,8,32,3,5,8,9,3,no
5,24,3,28,4,1,13,7,3,yes
3,17,10,13,2,6,10,8,5,yes
2,26,17,26,1,6,13,10,4,no
1,26,10,15,6,13,28,10,2,no
2,35,9,31,10,12,25,16,5,yes
2,21,12,21,6,9,13,9,7,no
4,27,8,23,5,15,10,11,3,yes
