Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,-6,2,8,1,1,6,1,0,yes
5,6,2,1,0,0,2,0,-1,yes
0,-1,-4,6,-3,-5,-16,1,-1,yes
-2,-4,5,4,1,4,-1,-1,-3,no
-3,-4,-5,4,2,5,1,-4,-2,no
-2,0,-4,-2,0,3,1,-1,-1,no
0,-16,6,-7,7,13,13,6,0,no
-4,-4,-10,-8,2,-1,-1,-7,4,no
1,27,-12,7,14,1,-6,9,-2,yes
-1,-26,5,-12,-1,8,-8,-2,0,no
1,5,5,-4,-7,3,-2,8,-1,yes
0,4,-5,5,3,3,2,-3,-1,yes
3,4,19,-5,-3,0,18,-6,1,yes
-2,0,-11,3,4,3,3,-2,-1,no
2,5,9,-6,0,8,0,-3,0,yes
0,6,1,10,2,5,-4,0,1,no
-1,9,1,5,2,2,-13,5,-5,no
2,-15,-6,-3,-2,2,-8,-9,-1,yes
2,0,1,-4,2,1,8,3,1,yes
0,7,8,-1,1,-1,-8,4,-2,yes
2,-1,7,-5,4,3,20,1,0,yes
8,12,3,-6,6,-4,0,0,-2,yes
0,-2,-2,-15,1,6,9,1,0,yes
5,3,-12,-3,5,6,-8,5,-4,yes
0,-9,9,2,4,5,-8,-1,2,yes
3,-11,-6,10,0,2,4,-1,0,yes
-1,-20,15,-12,1,8,13,-2,-2,no
3,0,3,-11,1,-2,5,9,-2,yes
-4,6,-10,13,2,4,-2,1,-1,no
3,-9,4,12,-1,4,-1,5,0,yes
-1,10,3,-1,-1,-1,6,9,1,yes
1,-7,3,-10,1,10,1,-4,0,no
2,-3,-9,7,2,4,-6,7,-2,yes
2,0,5,9,8,14,5,-1,0,yes
0,3,3,3,1,-3,-10,4,-1,no
1,-8,5,1,5,1,8,-7,-1,yes
-5,-8,-6,-8,1,5,-5,6,1,no
-2,2,6,11,2,9,0,1,0,no
1,6,-5,-4,1,-4,5,-2,0,yes
-1,9,7,13,-1,0,3,2,-1,no
1,9,-1,16,4,-1,-3,6,3,yes
2,6,-4,2,-1,6,-3,2,-4,yes
-3,-7,3,5,0,5,-16,4,-3,no
1,-5,3,-2,-2,1,-6,8,-1,yes
1,-7,6,6,0,2,7,-10,4,yes
-1,19,-5,1,-2,8,3,6,-3,no
2,-10,8,3,3,7,17,3,1,yes
-3,-3,7,-14,-3,1,5,4,-3,no
0,-7,-3,-10,3,3,-2,2,-1,yes
0,-2,0,13,0,0,-16,5,-1,yes
0,-3,-6,8,1,1,-3,-1,1,yes
-1,10,2,1,-2,3,-5,-5,-1,no
1,18,7,8,6,-2,-1,7,0,no
-1,2,-4,-4,0,8,6,-1,3,no
0,-12,5,6,-1,0,1,5,3,no
-1,4,-11,8,-2,3,-6,0,1,no
0,1,-2,-7,1,1,-7,-1,-5,no
3,3,2,2,-3,-1,0,-1,-2,yes
-1,-8,7,7,3,-1,0,7,2,no
1,18,-4,11,-2,-3,5,0,2,no
3,4,7,15,1,0,-1,5,-2,yes
0,-2,0,17,-5,5,3,9,1,no
0,-15,4,5,-2,-2,-8,2,-3,no
-4,3,7,-5,-1,12,35,-9,3,no
-3,-18,13,-3,-5,7,7,2,1,no
0,1,3,-3,3,1,0,-5,-1,yes
0,3,-1,-9,3,2,5,-11,2,no
0,-4,-2,14,2,5,-12,0,2,no
2,-10,8,-6,-1,3,-6,0,1,yes
1,-4,-2,4,7,9,-10,0,0,yes
1,-1,13,-6,-1,2,1,4,0,yes
7,-14,0,-10,-4,9,11,-8,-2,yes
2,-7,-8,-7,2,2,-2,-9,-1,yes
0,3,9,-7,-1,-3,2,-1,0,no
5,3,4,-4,3,-2,4,0,-2,yes
2,6,-5,2,4,11,4,3,-1,yes
2,-9,1,-2,3,1,-2,5,1,yes
1,3,13,3,0,-3,8,-12,2,yes
1,12,2,0,1,-4,-10,2,-1,yes
-2,-4,6,10,3,9,10,0,0,no
2,-3,-3,-11,5,2,-7,0,0,yes
0,-14,3,-1,0,5,4,-4,3,no
0,-8,-2,-3,2,5,0,-4,2,yes
4,8,3,-2,-2,0,-8,-2,2,yes
-2,-3,4,3,1,-1,17,-11,2,no
1,2,5,5,-2,6,-5,3,0,no
-1,-4,-13,-1,-3,3,6,4,0,no
0,-6,6,-9,5,2,-3,4,-1,no
1,5,-9,0,0,-1,-5,5,0,yes
0,-9,-1,-6,2,0,-8,-12,0,no
1,-20,5,-4,2,-1,11,-3,1,yes
5,-5,1,19,-3,-1,8,-3,3,yes
1,3,2,18,2,-8,-3,-4,3,yes
1,-2,-3,21,3,2,-7,9,-2,yes
-2,-5,-5,-5,2,6,1,0,4,no
0,0,-5,-2,-2,5,-3,5,1,yes
-1,0,1,8,10,12,-8,-4,1,no
1,-9,3,2,0,2,7,-17,-1,no
0,18,-7,3,-6,3,3,6,-2,yes
2,6,-6,7,-2,3,1,0,-3,yes
-2,10,0,16,2,-2,12,16,-2,no
-1,7,-4,-2,5,3,8,-3,-1,no
0,3,-2,3,0,0,4,-1,-1,yes
4,12,-9,-7,-3,-3,-1,2,-2,yes
