goal_diff,won,game_ids,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt
3,yes,2020020001,3,-7,2,0,33.400000000000006,1.0,0.0,16.0,-2,0,8,-1058.0
4,yes,2020020002,4,10,5,-2,16.700000000000003,1.0,1.0,1.7999999999999972,0,0,2,89.0
1,yes,2020020003,1,2,-5,-2,-16.700000000000003,0.0,1.0,8.0,-1,-4,-18,1328.0
-2,no,2020020004,-2,-4,3,-4,0.0,0.0,2.0,3.5999999999999943,-1,4,-1,695.0
-3,no,2020020005,-3,-5,-8,-4,25.0,1.0,2.0,8.799999999999997,3,5,1,405.0
-2,no,2020020006,-2,-2,-4,-2,-16.700000000000003,0.0,1.0,-1.7999999999999972,1,2,1,265.0
0,no,2020020007,0,-15,7,0,-40.0,-2.0,0.0,-14.799999999999997,9,13,13,756.0
-4,no,2020020008,-4,-9,-9,8,-25.0,-2.0,-5.0,-17.599999999999994,1,-1,-1,-931.0
2,yes,2020020009,2,27,-11,-4,0.0,0.0,2.0,12.200000000000003,17,2,-8,2993.0
-3,no,2020020010,-3,-29,7,2,-33.3,-1.0,-1.0,-19.200000000000003,-2,8,-8,-2347.0
2,yes,2020020011,2,5,5,-2,0.0,0.0,1.0,-8.0,-6,4,-2,8.0
1,yes,2020020012,1,8,-4,-2,-8.299999999999997,0.0,1.0,9.0,3,0,-1,1548.0
3,yes,2020020013,3,6,19,2,50.0,2.0,-1.0,-7.200000000000003,-3,1,13,208.0
0,no,2020020014,0,2,-9,0,0.0,0.0,0.0,9.400000000000006,5,3,3,-2512.0
3,yes,2020020015,3,7,8,0,0.0,0.0,0.0,-15.799999999999997,0,8,1,-1526.0
-1,no,2020020016,-1,7,5,4,25.0,1.0,-2.0,22.599999999999994,2,6,-4,-0.0
-1,no,2020020017,-1,10,1,-10,0.0,0.0,5.0,6.200000000000003,2,2,-12,-1645.0
3,yes,2020020018,3,-13,-6,-2,-3.3000000000000007,0.0,1.0,-8.0,-2,3,-6,-1590.0
3,yes,2020020019,3,0,2,2,-25.0,-1.0,-1.0,0.0,2,1,6,1548.0
1,yes,2020020020,1,14,8,-14,-25.0,0.0,2.0,3.4000000000000057,1,2,-10,-280.0
2,yes,2020020021,2,1,9,-10,-20.0,-1.0,0.0,-10.400000000000006,5,3,21,238.0
8,yes,2020020022,8,17,3,-6,71.4,5.0,3.0,0.0,6,-4,0,-66.0
1,yes,2020020023,1,3,-3,-2,0.0,0.0,1.0,-29.800000000000004,1,7,8,-168.0
5,yes,2020020024,5,9,-14,-18,12.5,1.0,4.0,-10.799999999999997,5,6,-9,467.0
2,yes,2020020025,2,-10,7,6,-20.0,-1.0,-3.0,6.400000000000006,4,5,-9,-986.0
3,yes,2020020026,3,-11,-7,-2,0.0,0.0,1.0,8.799999999999997,1,2,5,885.0
-1,no,2020020027,-1,-21,15,-2,-25.0,-1.0,1.0,-25.0,3,6,15,2152.0
