Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,predictions,probability_win
0,1,0,0,0,0,-1,0,0,no,0.2588695781342841
0,-1,-1,-2,0,1,-1,-2,0,no,0.22036488837959428
0,2,-2,-2,2,1,0,-1,0,no,0.3301015406162465
0,2,-2,-2,2,1,-1,-1,0,no,0.3437379042526102
0,4,-3,-2,2,1,-1,2,0,no,0.39355572532043126
0,1,-3,-2,2,1,2,1,-1,no,0.461407318172024
0,2,-3,-2,1,2,2,2,-1,yes,0.5468819823966882
1,1,-2,-2,0,2,0,0,-1,yes,0.9958333333333332
1,3,-2,-2,0,2,0,-1,-2,yes,0.9958333333333332
1,4,-2,-1,-1,2,-3,0,-2,yes,0.9958333333333332
1,3,-2,-2,-2,2,-4,-2,-3,yes,0.9958333333333332
1,2,-2,-2,-2,2,-3,-1,-3,yes,0.9958333333333332
-1,1,-1,-5,-2,2,-4,-2,-3,no,0.06083333333333333
-1,1,-2,-6,-2,2,-3,-2,-2,no,0.04583333333333333
0,2,-2,-3,-2,2,-4,-1,-3,no,0.29202228327228325
-1,2,-2,-4,-2,3,-3,-3,-3,no,0.03
-2,0,-2,-5,-2,3,-2,-3,-3,no,0.03555555555555555
-1,2,-3,-4,-2,3,-1,-2,-4,no,0.0494047619047619
0,2,-3,-5,-1,3,-2,-1,-4,no,0.3313079975579975
1,3,-3,-6,-1,4,-3,-1,-5,yes,0.9958333333333332
1,2,-3,-6,-1,4,-3,0,-5,yes,0.9958333333333332
1,3,-3,-8,0,4,-3,0,-4,yes,0.9958333333333332
1,2,-2,-8,0,4,-3,1,-4,yes,0.9923076923076923
2,2,-1,-9,-1,5,-3,1,-4,yes,0.9923076923076923
2,2,-2,-7,-1,5,-4,1,-4,yes,0.9923076923076923
2,2,-3,-6,-1,5,-5,3,-4,yes,0.9923076923076923
2,2,-3,-7,-1,5,-6,3,-4,yes,0.9923076923076923
2,3,-3,-7,-1,5,-6,2,-4,yes,0.9923076923076923
2,3,-3,-7,-1,4,-5,3,-4,yes,0.9923076923076923
2,-1,3,-9,-1,4,-4,1,-4,yes,0.9642857142857142
