,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,Stoppage,Period Start,Official Challenge,won
0,0,1,1,1,0,0,1,0,0,0,,,no
1,0,2,2,2,1,0,4,0,0,0,,,yes
2,0,1,0,2,0,0,0,1,0,0,,,no
3,0,0,0,1,0,0,1,0,0,0,,,yes
4,0,2,1,0,0,2,4,0,0,0,,,no
5,0,0,0,1,0,0,0,0,0,0,,,yes
6,0,1,0,4,0,1,1,1,0,0,,,yes
7,0,1,0,1,0,0,0,0,0,0,,,no
8,0,1,1,3,0,0,1,0,1,0,,,yes
9,0,0,0,0,0,0,0,0,0,0,,,no
10,0,2,0,2,0,0,2,0,0,0,,,yes
11,0,0,0,0,0,0,2,0,0,0,,,no
12,0,0,0,1,0,1,0,0,0,0,,,no
13,0,0,1,0,0,3,0,2,0,0,,,no
14,0,2,1,2,0,0,0,0,0,0,,,yes
15,0,1,1,0,1,0,1,1,1,0,,,no
16,0,0,0,2,0,0,0,0,0,0,,,no
17,0,2,0,0,0,1,2,0,0,0,,,yes
18,0,1,0,2,0,0,0,0,0,0,,,yes
19,0,2,0,1,0,0,2,1,0,0,,,no
20,0,1,2,0,1,0,0,1,0,0,,,no
21,0,0,0,1,0,0,0,1,0,0,,,yes
22,0,1,0,1,0,0,1,0,0,0,,,no
23,0,0,0,2,1,1,1,0,0,0,,,yes
24,0,1,0,0,1,0,1,0,0,0,,,no
25,0,3,0,1,0,0,3,0,0,0,,,yes
26,0,2,0,1,0,0,1,0,0,0,,,no
27,0,0,1,0,0,0,2,0,0,0,,,no
28,0,0,0,1,0,0,2,0,0,0,,,no
29,1,2,0,3,0,0,0,0,0,0,,,yes
30,0,0,0,0,0,0,1,0,1,0,,,yes
31,0,1,0,2,0,0,1,0,0,0,,,no
32,0,0,0,2,0,0,1,0,0,0,,,yes
33,0,3,0,2,1,0,1,0,0,0,,,no
34,0,1,0,3,0,0,3,2,0,0,,,no
35,0,0,0,1,0,0,1,0,0,0,,,yes
36,0,1,0,1,0,0,0,0,0,0,,,no
37,0,1,0,0,0,1,0,1,0,0,,,yes
38,0,2,1,3,0,2,1,1,0,0,,,no
39,1,1,1,2,0,0,0,0,0,0,,,yes
40,0,1,0,0,0,0,2,0,0,0,,,no
41,0,0,0,1,0,0,3,1,0,0,,,yes
42,0,1,0,0,0,0,0,0,1,0,,,no
43,0,0,0,3,1,0,1,0,0,0,,,yes
44,0,0,0,3,0,0,1,1,1,0,,,no
45,0,1,0,1,1,0,1,1,1,0,,,yes
46,0,1,0,0,1,0,2,0,0,0,,,no
47,0,1,0,1,0,0,0,0,0,0,,,yes
48,0,0,0,1,0,1,0,1,0,0,,,no
49,0,0,0,1,0,0,2,0,0,0,,,yes
50,0,4,0,2,0,0,0,0,0,0,,,no
51,0,0,0,1,0,0,1,0,1,0,,,yes
52,0,1,0,0,0,0,1,0,0,0,,,yes
53,0,0,0,2,0,0,1,0,0,0,,,no
54,0,1,0,1,0,1,2,0,0,0,,,no
55,0,1,1,0,0,0,2,1,0,0,,,yes
56,0,0,0,2,0,0,2,1,0,0,,,yes
57,0,0,1,0,0,0,1,0,0,0,,,no
58,0,1,0,0,1,0,1,0,0,0,,,no
59,0,1,0,2,1,2,1,1,1,0,,,yes
60,0,1,0,1,1,0,2,0,0,0,,,no
61,0,3,0,1,1,0,0,1,0,0,,,yes
62,1,1,0,2,0,0,0,0,0,0,,,yes
63,0,0,1,3,0,0,0,1,0,0,,,no
64,0,1,0,0,0,0,1,0,0,0,,,no
65,0,0,1,1,0,0,2,0,0,0,,,yes
66,0,0,0,0,0,0,1,0,1,0,,,no
67,0,1,1,3,0,0,0,0,0,0,,,yes
68,0,0,0,5,0,0,2,0,0,0,,,no
69,1,1,1,2,0,0,0,0,0,0,,,no
70,0,1,0,2,0,1,1,0,0,0,,,no
71,0,1,0,2,0,1,1,0,0,0,,,yes
72,0,2,0,1,0,0,1,0,0,0,,,yes
73,0,0,1,2,0,1,0,0,0,0,,,no
74,0,0,0,0,0,1,0,0,0,0,,,yes
75,0,5,0,4,0,0,0,0,0,0,,,no
76,0,0,0,1,0,0,0,0,0,0,,,no
77,0,1,0,1,0,0,1,0,0,0,,,yes
78,0,1,0,1,0,0,0,0,1,0,,,yes
79,0,4,0,3,0,0,1,1,1,0,,,no
80,0,1,0,2,0,1,3,0,0,0,,,no
81,0,2,0,0,2,0,0,0,0,0,,,yes
82,0,1,0,2,1,0,0,0,0,0,,,no
83,0,0,0,1,0,0,0,0,0,0,,,yes
84,0,1,2,1,0,0,2,0,0,0,,,yes
85,0,0,0,1,0,0,1,0,0,0,,,no
86,0,0,0,2,1,0,2,1,0,0,,,no
87,0,0,1,1,0,0,3,0,0,0,,,yes
88,0,0,0,0,0,0,1,0,0,0,,,no
89,0,1,0,3,0,0,1,0,0,0,,,yes
90,1,1,0,2,0,0,0,0,0,0,,,yes
91,0,0,1,1,0,0,1,0,1,0,,,no
92,0,0,1,3,0,0,0,0,0,0,,,no
93,0,1,1,2,0,0,1,0,0,0,,,yes
94,0,1,0,0,0,0,2,0,0,0,,,yes
95,0,0,0,2,0,0,1,0,0,0,,,no
96,0,0,0,1,0,1,1,0,0,0,,,no
97,0,1,0,0,1,1,2,1,0,0,,,yes
98,0,0,0,1,0,0,4,0,0,0,,,no
99,0,0,0,1,0,0,2,0,0,0,,,yes
100,0,1,2,2,1,0,0,0,0,0,,,no
101,0,0,0,2,0,0,1,0,0,0,,,yes
102,0,1,0,0,0,0,0,2,0,0,,,yes
103,0,0,0,1,0,0,0,0,0,0,,,no
104,0,1,0,0,0,1,1,0,0,0,,,yes
105,0,6,0,2,0,0,0,0,0,0,,,no
106,0,1,0,1,0,0,0,0,0,0,,,yes
107,0,0,0,0,0,1,1,0,0,0,,,no
108,0,2,0,1,0,0,0,0,0,0,,,no
109,0,2,0,1,0,0,0,0,0,0,,,no
110,0,1,0,2,0,1,1,0,0,0,,,yes
111,0,1,0,0,0,0,1,0,0,0,,,no
112,0,0,1,2,0,0,0,0,1,0,,,no
113,0,0,0,0,0,0,0,0,0,0,,,no
114,0,1,0,1,0,0,3,1,0,0,,,no
115,0,0,2,1,0,0,1,0,0,0,,,yes
116,0,3,0,1,0,2,0,0,0,0,,,yes
117,0,0,0,1,0,0,1,0,1,0,,,no
118,0,0,0,0,2,1,0,1,0,0,,,no
119,0,1,1,3,0,1,2,0,0,0,,,no
120,0,0,0,1,0,1,0,0,0,0,,,no
121,0,0,1,0,0,0,1,1,0,0,,,yes
122,0,0,0,1,0,1,0,1,0,0,,,yes
123,0,3,0,1,0,0,1,4,0,0,,,no
124,0,1,0,0,0,0,2,0,0,0,,,yes
125,1,1,0,3,1,0,1,0,0,0,,,no
126,0,2,2,4,0,0,0,0,0,0,,,yes
127,0,2,1,0,0,1,2,0,0,0,,,no
128,1,2,0,1,0,1,0,0,0,0,,,yes
129,0,0,1,1,0,0,3,1,0,0,,,no
130,0,1,0,1,0,0,2,0,0,0,,,no
131,0,0,1,1,0,1,1,1,0,0,,,yes
132,0,1,1,1,0,0,0,0,0,0,,,no
