,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
0,8,2,0,0.0,0.0,0.0,45.5,0,0,5,away,20210611_012712,1,08:10
1,6,3,0,0.0,0.0,0.0,54.5,4,2,9,home,20210611_012712,1,08:10
2,9,2,0,0.0,0.0,0.0,45.5,0,0,9,away,20210611_012807,1,09:16
3,6,5,0,0.0,0.0,0.0,54.5,6,3,12,home,20210611_012807,1,09:16
4,9,2,0,0.0,0.0,0.0,45.5,0,0,9,away,20210611_012914,1,10:11
5,6,5,0,0.0,0.0,0.0,54.5,6,3,12,home,20210611_012914,1,10:11
6,10,2,0,0.0,0.0,0.0,45.5,0,0,9,away,20210611_013009,1,11:14
7,6,5,0,0.0,0.0,0.0,54.5,7,4,13,home,20210611_013009,1,11:14
8,10,2,0,0.0,0.0,0.0,45.5,0,0,9,away,20210611_013104,1,11:36
9,6,7,0,0.0,0.0,0.0,54.5,8,4,17,home,20210611_013104,1,11:36
10,10,2,0,0.0,0.0,0.0,45.5,0,0,10,away,20210611_013213,1,11:36
11,6,7,0,0.0,0.0,0.0,54.5,8,4,17,home,20210611_013213,1,11:36
12,10,2,0,0.0,0.0,0.0,45.5,0,0,11,away,20210611_013308,1,11:51
13,6,7,0,0.0,0.0,0.0,54.5,8,4,16,home,20210611_013308,1,11:51
14,10,2,0,0.0,0.0,0.0,50.0,1,0,11,away,20210611_013418,1,12:36
15,6,8,0,0.0,0.0,0.0,50.0,8,4,17,home,20210611_013418,1,12:36
16,10,2,0,0.0,0.0,0.0,50.0,1,0,11,away,20210611_013513,1,12:43
17,6,8,0,0.0,0.0,0.0,50.0,8,4,17,home,20210611_013513,1,12:43
18,10,2,0,0.0,0.0,0.0,50.0,1,0,11,away,20210611_013608,1,14:04
19,6,8,0,0.0,0.0,0.0,50.0,8,4,17,home,20210611_013608,1,14:04
20,10,2,0,0.0,0.0,0.0,46.2,1,0,12,away,20210611_013717,1,14:37
21,6,11,0,0.0,0.0,0.0,53.8,8,4,19,home,20210611_013717,1,14:37
22,10,2,0,0.0,0.0,0.0,46.2,1,0,12,away,20210611_013812,1,15:06
23,7,11,0,0.0,0.0,0.0,53.8,8,4,19,home,20210611_013812,1,15:06
24,10,2,0,0.0,0.0,0.0,50.0,1,0,12,away,20210611_013908,1,15:14
25,7,11,0,0.0,0.0,0.0,50.0,8,4,19,home,20210611_013908,1,15:14
26,11,2,0,0.0,0.0,0.0,46.7,1,0,12,away,20210611_014017,1,16:22
27,9,11,0,0.0,0.0,0.0,53.3,9,4,19,home,20210611_014017,1,16:22
28,11,3,0,0.0,0.0,0.0,50.0,1,0,13,away,20210611_014112,1,16:22
29,9,11,0,0.0,0.0,0.0,50.0,10,4,20,home,20210611_014112,1,16:22
30,11,3,0,0.0,0.0,0.0,50.0,1,0,13,away,20210611_014207,1,16:22
31,9,11,0,0.0,0.0,0.0,50.0,10,4,20,home,20210611_014207,1,16:22
32,11,3,0,0.0,0.0,0.0,50.0,1,0,13,away,20210611_014313,1,16:46
33,9,11,0,0.0,0.0,0.0,50.0,10,4,20,home,20210611_014313,1,16:46
34,12,4,0,0.0,0.0,0.0,50.0,1,0,13,away,20210611_014408,1,17:24
35,9,11,0,0.0,0.0,0.0,50.0,10,4,20,home,20210611_014408,1,17:24
36,13,4,0,0.0,0.0,0.0,50.0,1,0,13,away,20210611_014503,1,18:02
37,9,11,0,0.0,0.0,0.0,50.0,10,4,20,home,20210611_014503,1,18:02
38,12,5,0,0.0,0.0,0.0,45.0,1,0,15,away,20210611_020722,2,00:00
39,10,15,0,0.0,0.0,0.0,55.0,12,5,23,home,20210611_020722,2,00:00
40,13,5,0,0.0,0.0,0.0,45.0,1,0,15,away,20210611_020817,2,01:27
41,10,15,0,0.0,0.0,0.0,55.0,12,5,23,home,20210611_020817,2,01:27
42,14,5,0,0.0,0.0,0.0,45.0,1,0,15,away,20210611_020923,2,02:18
43,11,15,0,0.0,0.0,0.0,55.0,12,5,23,home,20210611_020923,2,02:18
44,14,5,0,0.0,0.0,0.0,45.0,1,0,15,away,20210611_021018,2,02:23
45,11,17,0,0.0,0.0,0.0,55.0,12,7,23,home,20210611_021018,2,02:23
46,14,5,0,0.0,0.0,0.0,47.6,1,0,15,away,20210611_021113,2,03:03
47,11,18,2,0.0,0.0,0.0,52.4,12,7,24,home,20210611_021113,2,03:03
48,15,5,0,0.0,0.0,1.0,50.0,1,0,15,away,20210611_021222,2,03:47
49,11,18,2,0.0,0.0,0.0,50.0,12,7,24,home,20210611_021222,2,03:47
50,15,5,0,100.0,1.0,1.0,47.8,1,0,15,away,20210611_021317,2,04:03
51,11,19,2,0.0,0.0,0.0,52.2,12,7,24,home,20210611_021317,2,04:03
52,15,5,0,100.0,1.0,1.0,47.8,1,0,15,away,20210611_021412,2,04:48
53,11,19,2,0.0,0.0,0.0,52.2,12,7,24,home,20210611_021412,2,04:48
54,15,5,0,100.0,1.0,1.0,47.8,1,1,16,away,20210611_021522,2,05:30
55,11,19,2,0.0,0.0,0.0,52.2,12,8,26,home,20210611_021522,2,05:30
56,17,5,0,100.0,1.0,1.0,45.8,1,1,16,away,20210611_021624,2,06:40
57,11,19,2,0.0,0.0,0.0,54.2,12,8,26,home,20210611_021624,2,06:40
58,17,5,0,100.0,1.0,1.0,45.8,1,1,21,away,20210611_021723,2,07:16
59,11,19,2,0.0,0.0,0.0,54.2,12,8,27,home,20210611_021723,2,07:16
60,17,5,0,100.0,1.0,1.0,45.8,1,1,21,away,20210611_021818,2,07:16
61,10,19,2,0.0,0.0,0.0,54.2,12,8,27,home,20210611_021818,2,07:16
62,17,5,0,100.0,1.0,1.0,45.8,1,1,21,away,20210611_021917,2,07:16
63,10,19,2,0.0,0.0,0.0,54.2,12,8,27,home,20210611_021917,2,07:16
64,18,5,0,100.0,1.0,1.0,45.8,1,1,21,away,20210611_022015,2,07:59
65,10,19,2,0.0,0.0,0.0,54.2,12,8,27,home,20210611_022015,2,07:59
66,19,5,0,100.0,1.0,1.0,48.0,1,1,22,away,20210611_022125,2,09:13
67,11,20,2,0.0,0.0,0.0,52.0,13,9,27,home,20210611_022125,2,09:13
68,19,6,0,100.0,1.0,1.0,48.0,1,1,22,away,20210611_022224,2,09:46
69,11,20,2,0.0,0.0,0.0,52.0,13,10,28,home,20210611_022224,2,09:46
70,19,6,0,100.0,1.0,1.0,48.0,1,1,22,away,20210611_022319,2,10:00
71,11,20,2,0.0,0.0,0.0,52.0,13,10,28,home,20210611_022319,2,10:00
72,19,6,0,100.0,1.0,1.0,48.0,1,1,22,away,20210611_022414,2,10:15
