,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt,time_stamp,period,period_time
0,-2,10,0,0.0,0.0,0.0,10.0,11,5,8,-1083.0,20210611_020722,2,00:00
1,-3,10,0,0.0,0.0,0.0,10.0,11,5,8,-1130.0,20210611_020817,2,01:27
2,-3,10,0,0.0,0.0,0.0,10.0,11,5,8,-1038.0,20210611_020923,2,02:18
3,-3,12,0,0.0,0.0,0.0,10.0,11,7,8,-1107.0,20210611_021018,2,02:23
4,-3,13,2,0.0,0.0,0.0,4.799999999999997,11,7,9,-1169.0,20210611_021113,2,03:03
5,-4,13,2,0.0,0.0,-1.0,0.0,11,7,9,-1238.0,20210611_021222,2,03:47
6,-4,14,2,-100.0,-1.0,-1.0,4.400000000000006,11,7,9,-1202.0,20210611_021317,2,04:03
7,-4,14,2,-100.0,-1.0,-1.0,4.400000000000006,11,7,9,-1143.0,20210611_021412,2,04:48
8,-4,14,2,-100.0,-1.0,-1.0,4.400000000000006,11,7,10,-1056.0,20210611_021522,2,05:30
9,-6,14,2,-100.0,-1.0,-1.0,8.400000000000006,11,7,10,-1222.0,20210611_021624,2,06:40
10,-6,14,2,-100.0,-1.0,-1.0,8.400000000000006,11,7,6,-1446.0,20210611_021723,2,07:16
11,-7,14,2,-100.0,-1.0,-1.0,8.400000000000006,11,7,6,-1446.0,20210611_021818,2,07:16
12,-7,14,2,-100.0,-1.0,-1.0,8.400000000000006,11,7,6,-1446.0,20210611_021917,2,07:16
13,-8,14,2,-100.0,-1.0,-1.0,8.400000000000006,11,7,6,-1510.0,20210611_022015,2,07:59
14,-8,15,2,-100.0,-1.0,-1.0,4.0,12,8,5,-1288.0,20210611_022125,2,09:13
15,-8,14,2,-100.0,-1.0,-1.0,4.0,12,9,6,-1447.0,20210611_022224,2,09:46
16,-8,14,2,-100.0,-1.0,-1.0,4.0,12,9,6,-1585.0,20210611_022319,2,10:00
17,-8,14,2,-100.0,-1.0,-1.0,4.0,12,9,6,-1659.0,20210611_022414,2,10:15
18,-8,16,2,-100.0,-1.0,-1.0,0.0,12,9,4,-1765.0,20210611_022523,2,11:02
19,-8,16,2,-100.0,-1.0,-1.0,3.4000000000000057,12,9,4,-1765.0,20210611_022618,2,11:02
20,-8,17,2,-100.0,-1.0,-1.0,6.599999999999994,12,9,2,-1745.0,20210611_022728,2,11:44
21,-7,17,2,-100.0,-1.0,-1.0,6.599999999999994,12,9,3,-1452.0,20210611_022827,2,11:56
22,-7,17,2,-100.0,-1.0,-1.0,6.599999999999994,13,9,4,-1452.0,20210611_022925,2,11:56
23,-7,17,2,-100.0,-1.0,-1.0,6.599999999999994,13,9,4,-1496.0,20210611_023020,2,12:08
24,-7,17,2,-100.0,-1.0,-1.0,6.599999999999994,13,9,4,-1494.0,20210611_023119,2,13:19
25,-8,17,2,-100.0,-1.0,-1.0,3.200000000000003,13,10,5,-1428.0,20210611_023218,2,14:02
26,-8,17,2,-100.0,-1.0,-1.0,3.200000000000003,13,10,5,-1428.0,20210611_023316,2,14:02
27,-8,17,2,-100.0,-1.0,-1.0,3.200000000000003,13,10,5,-1428.0,20210611_023426,2,14:02
28,-7,17,2,-100.0,-1.0,-1.0,3.200000000000003,13,10,5,-1490.0,20210611_023525,2,14:24
29,-6,16,2,-100.0,-1.0,-1.0,6.200000000000003,13,10,5,-1421.0,20210611_023623,2,14:27
30,-6,16,2,-100.0,-1.0,-1.0,11.799999999999997,13,10,5,-1550.0,20210611_023723,2,15:05
