,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
0,22,7,0,100.0,1.0,1.0,50.0,1,1,31,away,20210611_030529,3,00:22
1,16,24,2,0.0,0.0,0.0,50.0,16,12,37,home,20210611_030529,3,00:22
2,22,7,0,100.0,1.0,1.0,48.8,1,1,31,away,20210611_030627,3,01:21
3,17,25,2,0.0,0.0,0.0,51.2,16,13,37,home,20210611_030627,3,01:21
4,22,7,0,100.0,1.0,1.0,48.8,1,1,31,away,20210611_030727,3,01:21
5,17,25,2,0.0,0.0,0.0,51.2,16,13,37,home,20210611_030727,3,01:21
6,22,7,0,100.0,1.0,1.0,47.6,1,1,31,away,20210611_030825,3,02:58
7,17,25,2,0.0,0.0,0.0,52.4,17,13,37,home,20210611_030825,3,02:58
8,22,7,0,100.0,1.0,1.0,47.6,1,1,31,away,20210611_030923,3,03:49
9,17,26,2,0.0,0.0,0.0,52.4,17,13,37,home,20210611_030923,3,03:49
10,22,7,0,100.0,1.0,1.0,47.6,1,1,33,away,20210611_031023,3,04:41
11,17,26,2,0.0,0.0,0.0,52.4,17,13,37,home,20210611_031023,3,04:41
12,23,8,0,100.0,1.0,1.0,47.6,2,1,36,away,20210611_031132,3,05:28
13,17,26,2,0.0,0.0,0.0,52.4,17,13,38,home,20210611_031132,3,05:28
14,24,8,0,100.0,1.0,1.0,47.6,2,1,37,away,20210611_031230,3,05:33
15,17,26,2,0.0,0.0,0.0,52.4,17,14,38,home,20210611_031230,3,05:33
16,24,8,0,100.0,1.0,1.0,47.7,2,1,37,away,20210611_031330,3,06:12
17,17,26,2,0.0,0.0,0.0,52.3,17,14,38,home,20210611_031330,3,06:12
18,27,8,0,100.0,1.0,1.0,47.7,2,1,37,away,20210611_031428,3,06:37
19,17,26,2,0.0,0.0,0.0,52.3,17,14,38,home,20210611_031428,3,06:37
20,27,9,0,100.0,1.0,1.0,48.9,2,1,37,away,20210611_031526,3,06:38
21,17,26,2,0.0,0.0,0.0,51.1,17,14,38,home,20210611_031526,3,06:38
22,27,9,0,100.0,1.0,1.0,48.9,2,1,37,away,20210611_031626,3,06:38
23,17,26,2,0.0,0.0,0.0,51.1,17,14,38,home,20210611_031626,3,06:38
24,27,9,0,100.0,1.0,1.0,50.0,2,1,37,away,20210611_031724,3,07:27
25,17,27,2,0.0,0.0,0.0,50.0,17,14,38,home,20210611_031724,3,07:27
26,27,9,0,100.0,1.0,1.0,48.9,2,1,37,away,20210611_031838,3,07:45
27,17,27,2,0.0,0.0,0.0,51.1,18,14,38,home,20210611_031838,3,07:45
28,28,9,0,100.0,1.0,1.0,48.9,2,1,37,away,20210611_031936,3,09:00
29,18,27,2,0.0,0.0,0.0,51.1,18,14,38,home,20210611_031936,3,09:00
30,28,9,0,100.0,1.0,1.0,48.9,2,1,37,away,20210611_032034,3,09:54
31,18,28,2,0.0,0.0,0.0,51.1,18,14,38,home,20210611_032034,3,09:54
32,28,9,0,100.0,1.0,1.0,50.0,2,1,37,away,20210611_032134,3,10:05
33,18,28,2,0.0,0.0,0.0,50.0,18,14,40,home,20210611_032134,3,10:05
34,28,9,0,100.0,1.0,1.0,50.0,2,1,37,away,20210611_032232,3,10:05
35,18,28,2,0.0,0.0,0.0,50.0,18,14,40,home,20210611_032232,3,10:05
36,28,9,0,100.0,1.0,1.0,50.0,2,1,37,away,20210611_032330,3,10:05
37,18,28,2,0.0,0.0,0.0,50.0,18,14,40,home,20210611_032330,3,10:05
38,28,9,0,100.0,1.0,1.0,50.0,2,1,37,away,20210611_032430,3,11:04
39,18,28,2,0.0,0.0,0.0,50.0,18,14,40,home,20210611_032430,3,11:04
40,28,9,0,100.0,1.0,1.0,51.0,2,1,37,away,20210611_032528,3,11:23
41,18,28,2,0.0,0.0,0.0,49.0,18,14,40,home,20210611_032528,3,11:23
42,28,10,0,100.0,1.0,1.0,51.0,2,1,37,away,20210611_032626,3,11:46
43,19,28,2,0.0,0.0,0.0,49.0,20,15,40,home,20210611_032626,3,11:46
44,28,12,0,100.0,1.0,1.0,49.0,2,1,37,away,20210611_032740,3,12:33
45,19,28,2,0.0,0.0,0.0,51.0,20,15,40,home,20210611_032740,3,12:33
46,28,13,0,100.0,1.0,1.0,49.0,2,1,38,away,20210611_032838,3,12:33
47,19,28,2,0.0,0.0,1.0,51.0,20,15,40,home,20210611_032838,3,12:33
48,28,13,2,100.0,1.0,1.0,50.0,2,1,38,away,20210611_032938,3,13:30
49,20,28,2,0.0,0.0,1.0,50.0,20,15,40,home,20210611_032938,3,13:30
50,29,14,2,100.0,1.0,1.0,50.0,2,1,38,away,20210611_033036,3,14:38
51,20,28,2,0.0,0.0,1.0,50.0,20,15,40,home,20210611_033036,3,14:38
52,29,14,2,100.0,1.0,1.0,50.0,2,1,38,away,20210611_033134,3,15:37
53,20,28,2,0.0,0.0,1.0,50.0,20,15,40,home,20210611_033134,3,15:37
