,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt,time_stamp,period,period_time
0,-6,17,2,-100.0,-1.0,-1.0,0.0,15,11,6,-1343.0,20210611_030529,3,00:22
1,-5,18,2,-100.0,-1.0,-1.0,2.4000000000000057,15,12,6,-1283.0,20210611_030627,3,01:21
2,-5,18,2,-100.0,-1.0,-1.0,2.4000000000000057,15,12,6,-1214.0,20210611_030727,3,01:21
3,-5,18,2,-100.0,-1.0,-1.0,4.799999999999997,16,12,6,-1168.0,20210611_030825,3,02:58
4,-5,19,2,-100.0,-1.0,-1.0,4.799999999999997,16,12,6,-1226.0,20210611_030923,3,03:49
5,-5,19,2,-100.0,-1.0,-1.0,4.799999999999997,16,12,4,-1016.0,20210611_031023,3,04:41
6,-6,18,2,-100.0,-1.0,-1.0,4.799999999999997,15,12,2,-1263.0,20210611_031132,3,05:28
7,-7,18,2,-100.0,-1.0,-1.0,4.799999999999997,15,13,1,-1364.0,20210611_031230,3,05:33
8,-7,18,2,-100.0,-1.0,-1.0,4.599999999999994,15,13,1,-1364.0,20210611_031330,3,06:12
9,-10,18,2,-100.0,-1.0,-1.0,4.599999999999994,15,13,1,-1644.0,20210611_031428,3,06:37
10,-10,17,2,-100.0,-1.0,-1.0,2.200000000000003,15,13,1,-1644.0,20210611_031526,3,06:38
11,-10,17,2,-100.0,-1.0,-1.0,2.200000000000003,15,13,1,-1644.0,20210611_031626,3,06:38
12,-10,18,2,-100.0,-1.0,-1.0,0.0,15,13,1,-1780.0,20210611_031724,3,07:27
13,-10,18,2,-100.0,-1.0,-1.0,2.200000000000003,16,13,1,-1780.0,20210611_031838,3,07:45
14,-10,18,2,-100.0,-1.0,-1.0,2.200000000000003,16,13,1,-1608.0,20210611_031936,3,09:00
15,-10,19,2,-100.0,-1.0,-1.0,2.200000000000003,16,13,1,-1608.0,20210611_032034,3,09:54
16,-10,19,2,-100.0,-1.0,-1.0,0.0,16,13,3,-1539.0,20210611_032134,3,10:05
17,-10,19,2,-100.0,-1.0,-1.0,0.0,16,13,3,-1539.0,20210611_032232,3,10:05
18,-10,19,2,-100.0,-1.0,-1.0,0.0,16,13,3,-1559.0,20210611_032330,3,10:05
19,-10,19,2,-100.0,-1.0,-1.0,0.0,16,13,3,-1639.0,20210611_032430,3,11:04
20,-10,19,2,-100.0,-1.0,-1.0,-2.0,16,13,3,-1570.0,20210611_032528,3,11:23
21,-9,18,2,-100.0,-1.0,-1.0,-2.0,18,14,3,-1570.0,20210611_032626,3,11:46
22,-9,16,2,-100.0,-1.0,-1.0,2.0,18,14,3,-1473.0,20210611_032740,3,12:33
23,-9,15,2,-100.0,-1.0,0.0,2.0,18,14,2,-1404.0,20210611_032838,3,12:33
24,-8,15,0,-100.0,-1.0,0.0,0.0,18,14,2,-1258.0,20210611_032938,3,13:30
25,-9,14,0,-100.0,-1.0,0.0,0.0,18,14,2,-1419.0,20210611_033036,3,14:38
26,-9,14,0,-100.0,-1.0,0.0,0.0,18,14,2,-1438.0,20210611_033134,3,15:37
27,-8,14,0,-100.0,-1.0,0.0,0.0,18,14,3,-1436.0,20210611_033234,3,15:37
28,-8,14,0,-100.0,-1.0,0.0,0.0,18,14,4,-1436.0,20210611_033332,3,15:37
29,-8,14,0,-100.0,-1.0,0.0,0.0,18,14,4,-1463.0,20210611_033430,3,15:49
30,-7,14,0,-100.0,-1.0,0.0,0.0,18,14,4,-1429.0,20210611_033530,3,16:42
31,-6,13,0,-100.0,-1.0,0.0,1.7999999999999972,18,14,2,-1429.0,20210611_033628,3,16:50
32,-7,13,0,-100.0,-1.0,0.0,1.7999999999999972,18,14,2,-1510.0,20210611_033727,3,17:44
33,-8,12,0,-100.0,-1.0,0.0,0.0,17,14,4,-1737.0,20210611_033840,3,18:55
34,-8,11,0,-100.0,-1.0,0.0,0.0,16,14,4,-1737.0,20210611_033938,3,18:55
35,-9,11,0,-100.0,-1.0,0.0,0.0,16,14,4,-1677.0,20210611_034038,3,19:21
36,-10,11,0,-100.0,-1.0,0.0,-3.5999999999999943,16,14,4,-1996.0,20210611_034136,3,20:00
